sick_cd,sick_nm,sickCd,sickEngNm,sickNm
D35,Benign neoplasm of other and unspecified endocrine glands,D35,Benign neoplasm of other and unspecified endocrine glands,기타 및 상세불명의 내분비선의 양성 신생물
D36,Benign neoplasm of other and unspecified sites,D36,Benign neoplasm of other and unspecified sites,기타 및 상세불명 부위의 양성 신생물
D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,구강 및 소화기관의 행동양식 불명 또는 미상의 신생물
D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,"중이, 호흡기관, 흉곽내기관의 행동양식 불명 또는 미상의 신생물"
D39,Neoplasm of uncertain or unknown behaviour of female genital organs,D39,Neoplasm of uncertain or unknown behaviour of female genital organs,여성생식기관의 행동양식 불명 또는 미상의 신생물
D40,Neoplasm of uncertain or unknown behaviour of male genital organs,D40,Neoplasm of uncertain or unknown behaviour of male genital organs,남성생식기관의 행동양식 불명 또는 미상의 신생물
D41,Neoplasm of uncertain or unknown behaviour of urinary organs,D41,Neoplasm of uncertain or unknown behaviour of urinary organs,비뇨기관의 행동양식 불명 또는 미상의 신생물
D42,Neoplasm of uncertain or unknown behaviour of meninges,D42,Neoplasm of uncertain or unknown behaviour of meninges,수막의 행동양식 불명 또는 미상의 신생물
D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물
D44,Neoplasm of uncertain or unknown behaviour of endocrine glands,D44,Neoplasm of uncertain or unknown behaviour of endocrine glands,내분비선의 행동양식 불명 또는 미상의 신생물
D45,Polycythaemia vera,D45,Polycythaemia vera,진성 적혈구증가증
D46,Myelodysplastic syndromes,D46,Myelodysplastic syndromes,골수형성이상증후군
D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue","림프, 조혈 및 관련 조직의 행동양식 불명 및 미상의 기타 신생물"
D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물
D50,Iron deficiency anaemia,D50,Iron deficiency anaemia,철결핍빈혈
D51,Vitamin B12 deficiency anaemia,D51,Vitamin B12 deficiency anaemia,비타민B12결핍빈혈
D52,Folate deficiency anaemia,D52,Folate deficiency anaemia,엽산결핍빈혈
D53,Other nutritional anaemias,D53,Other nutritional anaemias,기타 영양성 빈혈
D55,Anaemia due to enzyme disorders,D55,Anaemia due to enzyme disorders,효소장애에 의한 빈혈
D56,Thalassaemia,D56,Thalassaemia,지중해빈혈
D57,Sickle-cell disorders,D57,Sickle-cell disorders,낫적혈구장애
D58,Other hereditary haemolytic anaemias,D58,Other hereditary haemolytic anaemias,기타 유전성 용혈성 빈혈
D59,Acquired haemolytic anaemia,D59,Acquired haemolytic anaemia,후천성 용혈성 빈혈
D60,Acquired pure red cell aplasia [erythroblastopenia],D60,Acquired pure red cell aplasia [erythroblastopenia],후천성 순수적혈구무형성[적모구감소]
D61,Other aplastic anaemias,D61,Other aplastic anaemias,기타 무형성빈혈
D62,Acute posthaemorrhagic anaemia,D62,Acute posthaemorrhagic anaemia,급성 출혈후 빈혈
D63,Anaemia in chronic diseases classified elsewhere,D63,Anaemia in chronic diseases classified elsewhere,달리 분류된 만성 질환에서의 빈혈
D64,Other anaemias,D64,Other anaemias,기타 빈혈
D65,Disseminated intravascular coagulation [defibrination syndrome],D65,Disseminated intravascular coagulation [defibrination syndrome],파종성 혈관내응고[탈피브린증후군]
D66,Hereditary factor Ⅷ deficiency,D66,Hereditary factor Ⅷ deficiency,유전성 제8인자결핍
D67,Hereditary factor Ⅸ deficiency,D67,Hereditary factor Ⅸ deficiency,유전성 제9인자결핍
D68,Other coagulation defects,D68,Other coagulation defects,기타 응고결함
D69,Purpura and other haemorrhagic conditions,D69,Purpura and other haemorrhagic conditions,자반 및 기타 출혈성 병태
D70,Agranulocytosis,D70,Agranulocytosis,무과립구증
D71,Functional disorders of polymorphonuclear neutrophils,D71,Functional disorders of polymorphonuclear neutrophils,다형핵호중구의 기능장애
D72,Other disorders of white blood cells,D72,Other disorders of white blood cells,백혈구의 기타 장애
D73,Diseases of spleen,D73,Diseases of spleen,비장의 질환
D74,Methaemoglobinaemia,D74,Methaemoglobinaemia,메트헤모글로빈혈증
D75,Other diseases of blood and blood-forming organs,D75,Other diseases of blood and blood-forming organs,혈액 및 조혈기관의 기타 질환
D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,림프세망 및 세망조직구 조직의 참여를 동반한 기타 명시된 질환
D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere,D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere,달리 분류된 질환에서 혈액 및 조혈기관의 기타 장애
D80,Immunodeficiency with predominantly antibody defects,D80,Immunodeficiency with predominantly antibody defects,항체결손이 현저한 면역결핍
D81,Combined immunodeficiencies,D81,Combined immunodeficiencies,복합면역결핍
D82,Immunodeficiency associated with other major defects,D82,Immunodeficiency associated with other major defects,기타 주요 결손과 관련된 면역결핍
D83,Common variable immunodeficiency,D83,Common variable immunodeficiency,공통 가변성 면역결핍
D84,Other immunodeficiencies,D84,Other immunodeficiencies,기타 면역결핍
D86,Sarcoidosis,D86,Sarcoidosis,사르코이드증
D89,"Other disorders involving the immune mechanism, NEC",D89,"Other disorders involving the immune mechanism, NEC",달리 분류되지 않은 면역메커니즘을 침범한 기타 장애
E00,Congenital iodine-deficiency syndrome,E00,Congenital iodine-deficiency syndrome,선천성 요오드결핍증후군
E01,Iodine-deficiency-related thyroid disorders and allied conditions,E01,Iodine-deficiency-related thyroid disorders and allied conditions,요오드결핍과 관련된 갑상선장애 및 동류의 병태
E02,Subclinical iodine-deficiency hypothyroidism,E02,Subclinical iodine-deficiency hypothyroidism,무증상 요오드결핍성 갑상선기능저하증
E03,Other hypothyroidism,E03,Other hypothyroidism,기타 갑상선기능저하증
E04,Other nontoxic goitre,E04,Other nontoxic goitre,기타 비독성 고이터
E05,Thyrotoxicosis[hyperthyroidism],E05,Thyrotoxicosis[hyperthyroidism],갑상선독증[갑상선기능항진증]
E06,Thyroiditis,E06,Thyroiditis,갑상선염
E07,Other disorders of thyroid,E07,Other disorders of thyroid,갑상선의 기타 장애
E10,Type 1 diabetes mellitus,E10,Type 1 diabetes mellitus,1형 당뇨병
E11,Type 2 diabetes mellitus,E11,Type 2 diabetes mellitus,2형 당뇨병
E12,Malnutrition-related diabetes mellitus,E12,Malnutrition-related diabetes mellitus,영양실조-관련 당뇨병
E13,Other specified diabetes mellitus,E13,Other specified diabetes mellitus,기타 명시된 당뇨병
E14,Unspecified diabetes mellitus,E14,Unspecified diabetes mellitus,상세불명의 당뇨병
E15,Nondiabetic hypoglycaemic coma,E15,Nondiabetic hypoglycaemic coma,비당뇨병성 저혈당성 혼수
E16,Other disorders of pancreatic internal secretion,E16,Other disorders of pancreatic internal secretion,췌장내분비의 기타 장애
E20,Hypoparathyroidism,E20,Hypoparathyroidism,부갑상선기능저하증
E21,Hyperparathyroidism and other disorders of parathyroid gland,E21,Hyperparathyroidism and other disorders of parathyroid gland,부갑상선기능항진증 및 부갑상선의 기타 장애
E22,Hyperfunction of pituitary gland,E22,Hyperfunction of pituitary gland,뇌하수체의 기능항진
E23,Hypofunction and other disorders of pituitary gland,E23,Hypofunction and other disorders of pituitary gland,뇌하수체의 기능저하 및 기타 장애
E24,Cushing’s syndrome,E24,Cushing’s syndrome,쿠싱증후군
E25,Adrenogenital disorders,E25,Adrenogenital disorders,부신생식기장애
E26,Hyperaldosteronism,E26,Hyperaldosteronism,고알도스테론증
E27,Other disorders of adrenal gland,E27,Other disorders of adrenal gland,부신의 기타 장애
E28,Ovarian dysfunction,E28,Ovarian dysfunction,난소의 기능이상
E29,Testicular dysfunction,E29,Testicular dysfunction,고환의 기능이상
E30,"Disorders of puberty, NEC",E30,"Disorders of puberty, NEC",달리 분류되지 않은 사춘기의 장애
E31,Polyglandular dysfunction,E31,Polyglandular dysfunction,다선성 기능이상
E32,Diseases of thymus,E32,Diseases of thymus,흉선의 질환
E34,Other endocrine disorders,E34,Other endocrine disorders,기타 내분비장애
E35,Disorders of endocrine glands in diseases classified elsewhere,E35,Disorders of endocrine glands in diseases classified elsewhere,달리 분류된 질환에서의 내분비선장애
E40,Kwashiorkor,E40,Kwashiorkor,콰시오르코르
E41,Nutritional marasmus,E41,Nutritional marasmus,영양성 소모증
E42,Marasmic Kwashiorkor,E42,Marasmic Kwashiorkor,소모성 콰시오르코르
E43,Unspecified severe protein-energy malnutrition,E43,Unspecified severe protein-energy malnutrition,상세불명의 중증 단백질-에너지영양실조
E44,Protein-energy malnutrition of moderate and mild degree,E44,Protein-energy malnutrition of moderate and mild degree,중등도 및 경도의 단백질-에너지영양실조
E45,Retarded development following protein- energy malnutrition,E45,Retarded development following protein- energy malnutrition,단백질-에너지영양실조로 인한 발육지연
E46,Unspecified protein-energy malnutrition,E46,Unspecified protein-energy malnutrition,상세불명의 단백질-에너지영양실조
E50,Vitamin A deficiency,E50,Vitamin A deficiency,비타민A결핍
E51,Thiamine deficiency,E51,Thiamine deficiency,티아민결핍
E52,Niacin deficiency[Pellagra],E52,Niacin deficiency[Pellagra],니아신결핍[펠라그라]
E53,Deficiency of other B group vitamins,E53,Deficiency of other B group vitamins,기타 비타민B군의 결핍
E54,Ascorbic acid deficiency,E54,Ascorbic acid deficiency,아스코르빈산결핍
E55,Vitamin D deficiency,E55,Vitamin D deficiency,비타민D결핍
E56,Other vitamin deficiencies,E56,Other vitamin deficiencies,기타 비타민결핍
E58,Dietary calcium deficiency,E58,Dietary calcium deficiency,식사성 칼슘결핍
E59,Dietary selenium deficiency,E59,Dietary selenium deficiency,식사성 셀레늄결핍
E60,Dietary zinc deficiency,E60,Dietary zinc deficiency,식사성 아연결핍
E61,Deficiency of other nutrient elements,E61,Deficiency of other nutrient elements,기타 영양소의 결핍
E63,Other nutritional deficiencies,E63,Other nutritional deficiencies,기타 영양결핍
E64,Sequelae of malnutrition and other nutritional deficiencies,E64,Sequelae of malnutrition and other nutritional deficiencies,영양실조 및 기타 영양결핍의 후유증
E65,Localized adiposity,E65,Localized adiposity,국소적 지방과다
E66,Obesity,E66,Obesity,비만
E67,Other hyperalimentation,E67,Other hyperalimentation,기타 과영양
E68,Sequelae of hyperalimentation,E68,Sequelae of hyperalimentation,과영양의 후유증
E70,Disorders of aromatic amino-acid metabolism,E70,Disorders of aromatic amino-acid metabolism,방향족아미노산대사장애
E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,측쇄아미노산 및 지방산 대사장애
E72,Other disorders of amino-acid metabolism,E72,Other disorders of amino-acid metabolism,아미노산대사의 기타 장애
E73,Lactose intolerance,E73,Lactose intolerance,젖당불내성
E74,Other disorders of carbohydrate metabolism,E74,Other disorders of carbohydrate metabolism,탄수화물대사의 기타 장애
